t,action,id,from,to
374,1,26-519-153,26-519,153
375,0,26-92-154,26-92,154
375,0,26-92-26,26-92,26
375,0,26-92-92,26-92,92
376,1,26-92-26,26-92,26
376,1,26-92-92,26-92,92
376,1,26-92-154,26-92,154
377,0,13-520-155,13-520,155
377,0,13-520-13,13-520,13
377,0,13-520-520,13-520,520
378,1,13-520-13,13-520,13
378,1,13-520-520,13-520,520
378,1,13-520-155,13-520,155
379,0,30-536-157,30-536,157
379,0,30-536-30,30-536,30
379,0,30-536-536,30-536,536
380,1,30-514-157,30-514,157
381,0,30-514-116,30-514,116
382,1,30-515-30,30-515,30
382,1,30-515-515,30-515,515
382,1,30-515-116,30-515,116
383,0,30-511-118,30-511,118
383,0,30-511-30,30-511,30
383,0,30-511-511,30-511,511
384,1,30-511-30,30-511,30
384,1,30-511-511,30-511,511
384,1,30-511-118,30-511,118
385,0,30-87-158,30-87,158
386,1,30-87-158,30-87,158
387,0,30-87-159,30-87,159
388,1,30-87-159,30-87,159
389,0,523-511-160,523-511,160
389,0,523-511-523,523-511,523
389,0,523-511-511,523-511,511
390,1,535-536-535,535-536,535
390,1,535-536-536,535-536,536
390,1,535-536-160,535-536,160
391,0,13-519-161,13-519,161
391,0,13-519-13,13-519,13
391,0,13-519-519,13-519,519
392,1,13-519-13,13-519,13
392,1,13-519-519,13-519,519
392,1,13-519-161,13-519,161
393,0,13-55-162,13-55,162
393,0,13-55-13,13-55,13
393,0,13-55-55,13-55,55
394,1,528-66-528,528-66,528
394,1,528-66-66,528-66,66
394,1,528-66-162,528-66,162
395,0,33-56-119,33-56,119
396,1,33-56-119,33-56,119
397,0,33-56-120,33-56,120
398,1,33-56-120,33-56,120
399,0,34-98-121,34-98,121
399,0,34-98-34,34-98,34
399,0,34-98-98,34-98,98
400,1,34-98-34,34-98,34
400,1,34-98-98,34-98,98
400,1,34-98-121,34-98,121
401,0,34-85-164,34-85,164
401,0,34-85-34,34-85,34
401,0,34-85-85,34-85,85
402,1,34-85-34,34-85,34
402,1,34-85-85,34-85,85
402,1,34-85-164,34-85,164
403,0,510-73-122,510-73,122
403,0,510-73-510,510-73,510
403,0,510-73-73,510-73,73
404,1,510-73-510,510-73,510
404,1,510-73-73,510-73,73
404,1,510-73-122,510-73,122
405,0,39-65-124,39-65,124
405,0,39-65-39,39-65,39
405,0,39-65-65,39-65,65
406,1,39-65-39,39-65,39
406,1,39-65-65,39-65,65
406,1,39-65-124,39-65,124
407,0,524-79-125,524-79,125
408,1,524-79-125,524-79,125
409,0,524-79-127,524-79,127
410,1,524-79-127,524-79,127
411,0,525-521-169,525-521,169
412,1,525-521-169,525-521,169
413,0,525-521-128,525-521,128
